Month,Total NaN %,System Outage NaN %,GlobalIR,DirectIR,DiffuseIR,WindSpeed,Temperature
2020-12,0.442,0.19,0.038,0.038,0.038,0.229,0.098
2020-10,0.518,0.146,0.029,0.029,0.029,0.401,0.029
2022-02,0.55,0.08,0.016,0.016,0.016,0.149,0.353
2020-04,0.61,0.005,0.001,0.001,0.001,0.492,0.115
2021-05,0.679,0.508,0.102,0.102,0.102,0.273,0.102
2022-07,0.719,0.043,0.009,0.009,0.009,0.685,0.009
2021-09,0.813,0.046,0.009,0.009,0.009,0.776,0.009
2022-04,0.813,0.145,0.029,0.029,0.029,0.612,0.114
2021-07,0.866,0.048,0.01,0.01,0.01,0.828,0.01
2021-10,0.917,0.062,0.012,0.012,0.012,0.79,0.09
2022-06,0.996,0.119,0.024,0.024,0.024,0.901,0.024
2022-10,1.077,0.077,0.015,0.015,0.015,1.016,0.015
2019-10,1.078,0.825,0.165,0.165,0.165,0.418,0.165
2022-08,1.083,0.108,0.022,0.022,0.022,0.996,0.022
2022-05,1.198,0.115,0.023,0.023,0.023,1.106,0.023
2023-01,1.237,0.199,0.04,0.04,0.04,0.08,1.037
2021-08,1.262,0.467,0.093,0.093,0.093,0.888,0.093
2020-11,1.273,0.026,0.005,0.005,0.005,0.669,0.589
2022-03,1.324,0.067,0.013,0.013,0.013,0.647,0.638
2021-04,1.733,1.23,0.246,0.246,0.246,0.556,0.439
2023-02,1.814,0.318,0.064,0.064,0.064,0.362,1.261
2021-12,1.859,0.571,0.114,0.114,0.114,0.389,1.127
2021-01,1.94,0.022,0.004,0.004,0.004,0.428,1.498
2022-01,1.94,0.046,0.009,0.009,0.009,0.19,1.723
2021-03,2.274,1.455,0.291,0.291,0.291,0.684,0.716
2021-02,3.74,0.073,0.015,0.015,0.015,0.539,3.157
2020-05,5.184,4.931,0.986,0.986,0.986,1.239,0.986
2021-06,5.994,1.896,0.379,0.379,0.379,4.477,0.379
2022-09,6.409,5.808,1.162,1.162,1.162,1.763,1.162
2023-03,6.597,6.034,1.207,1.207,1.207,1.377,1.6
2020-09,7.518,6.724,1.345,1.345,1.345,2.139,1.345
2022-12,8.064,3.409,0.682,0.682,0.682,0.845,5.173
2019-09,9.391,9.052,1.81,1.81,1.81,2.149,1.81
2019-11,9.473,8.67,1.734,1.734,1.734,2.02,2.252
2020-01,12.27,10.929,2.186,2.186,2.186,2.511,3.202
2020-02,17.353,17.147,3.429,3.429,3.429,3.572,3.492
2019-12,18.233,17.483,3.497,3.497,3.497,3.82,3.924
2020-03,22.499,22.193,4.439,4.439,4.439,4.594,4.589
2021-11,28.106,27.367,5.473,5.473,5.473,5.823,5.863
2022-11,55.241,55.094,11.019,11.019,11.019,11.166,11.019
2020-06,71.818,71.729,14.346,14.346,14.346,14.434,14.346
2020-07,86.098,85.896,17.179,17.179,17.179,17.381,17.179
2020-08,89.024,88.98,17.796,17.796,17.796,17.84,17.796
